alpha,kappa,num,exact,err_num,err_model,err_total
0.1,750003.6086000993,-0.6564284827924374,-0.6640140842818016,0.011423856314085361,0.11111111111111115,0.1212656500569648
0.03162277660168379,2371719.0531160682,-0.7144499922931011,-0.7186102794053891,0.00578935096187381,0.038025385416818526,0.04359459407705386
0.01,7500033.592012751,-0.7359100853842935,-0.7377934269797797,0.002552667896752372,0.012345679012345616,0.014866832490619564
0.0031622776601683794,23717188.09763649,-0.7432560983735936,-0.7440746315858245,0.001100068699407738,0.003937283595266644,0.005033021012230537
0.001,75000333.57084775,-0.7457556376889849,-0.7460832407660692,0.0004390972202350634,0.0012484394506867005,0.0016869884846293355
0.00031622776601683794,237171878.86542803,-0.7466009568689489,-0.7467206775524007,0.00016032860352040227,0.00039512851925984624,0.0005553937723765445
0.0001,750003333.6545479,-0.7468793642087538,-0.7469224795070885,5.7723926535355515e-05,0.00012498437695292658,0.0001827010888992888
3.1622776601683795e-05,2371718786.61021,-0.7469700254569495,-0.7469863175902197,2.1810484190413955e-05,3.9526908313959746e-05,6.133653040336482e-05
1e-05,7500033334.834765,-0.7470002691338778,-0.7470065072356863,8.350799823051795e-06,1.2499843752138977e-05,2.0850539191497778e-05
3.162277660168379e-06,23717187863.531887,-0.7470106454785828,-0.7470128919893017,3.007325232249564e-06,3.9528314502424895e-06,6.9601447950422945e-06
1e-06,75000333336.90456,-0.7470141461446111,-0.747014911048388,1.0239471335312583e-06,1.249998437562247e-06,2.273944291161188e-06
3.162277660168379e-07,237171878600.89896,-0.7470152891767726,-0.7470155495332039,3.48528797647864e-07,3.952845511877458e-07,7.438132110675604e-07
1e-07,750003333036.6117,-0.7470156577964797,-0.7470157514400579,1.253568991611413e-07,1.2499998438149164e-07,2.503568678730225e-07
3.162277660168379e-08,2371718784804.7905,-0.7470157796907972,-0.747015815288634,4.765339108069549e-08,3.952846923777728e-08,8.718185843480717e-08
1e-08,7500033345727.913,-0.7470158222896811,-0.7470158354793289,1.765645009374642e-08,1.2499999850049434e-08,3.015644972309023e-08
3.1622776601683795e-09,23717188013504.68,-0.747015837242515,-0.7470158418641875,6.1868466907267455e-09,3.952847102123025e-09,1.0139693768394112e-08
1e-09,75000329739413.69,-0.747015842253735,-0.747015843883257,2.181375517233422e-09,1.2500000444533758e-09,3.4313755589600787e-09
3.1622776601683795e-10,237171833667107.5,-0.7470158438801806,-0.747015844521743,8.588336693244214e-10,3.9528466562597824e-10,1.2541183346109159e-09
1e-10,750003514323489.2,-0.7470158444091256,-0.7470158447236499,4.210409962770197e-10,1.2499998958322948e-10,5.46040985807619e-10
3.1622776601683794e-11,2371709103451057.0,-0.7470158445852028,-0.7470158447874984,2.7080499845841707e-10,3.9528600321570817e-11,3.1033359876928337e-10
1e-11,7500071768751627.0,-0.747015844638305,-0.7470158448076891,2.267477651664933e-10,1.2500073268863502e-11,2.3924783843252244e-10
3.1622776601683794e-12,2.3716243867978908e+16,-0.7470158446508288,-0.747015844814074,2.1852976248458163e-10,3.952874894265193e-12,2.22482637377983e-10
1e-12,7.499380610844699e+16,-0.7470158446537052,-0.7470158448160931,2.173821104956632e-10,1.250051913210683e-12,2.1863216240860217e-10
3.162277660168379e-13,2.3702138850174477e+17,-0.747015844654985,-0.7470158448167316,2.165235265099084e-10,3.953320757508521e-13,2.1691885858557365e-10
1e-13,7.503982902767082e+17,-0.747015844656913,-0.7470158448169334,2.1421291456184265e-10,1.251389502940667e-13,2.143380535121099e-10
3.1622776601683796e-14,2.368098991291895e+18,-0.7470158446609219,-0.7470158448169973,2.0893196168676583e-10,3.953320757508521e-14,2.0897149489433266e-10
1e-14,7.362780198703803e+18,-0.747015844666824,-0.7470158448170175,2.010580168095871e-10,1.2484170813184803e-14,2.0107050098039777e-10
