# n i point weight
1 0 0 2
2 0 -0.57735026918962584 1
2 1 0.57735026918962584 1
3 0 -0.7745966692414834 0.55555555555555602
3 1 0 0.88888888888888895
3 2 0.7745966692414834 0.55555555555555602
4 0 -0.86113631159405257 0.34785484513745402
4 1 -0.33998104358485631 0.65214515486254598
4 2 0.33998104358485631 0.65214515486254598
4 3 0.86113631159405257 0.34785484513745402
5 0 -0.90617984593866396 0.236926885056189
5 1 -0.53846931010568311 0.47862867049936603
5 2 0 0.568888888888889
5 3 0.53846931010568311 0.47862867049936603
5 4 0.90617984593866396 0.236926885056189
6 0 -0.93246951420315205 0.17132449237917
6 1 -0.66120938646626448 0.36076157304813899
6 2 -0.2386191860831969 0.46791393457269098
6 3 0.2386191860831969 0.46791393457269098
6 4 0.66120938646626448 0.36076157304813899
6 5 0.93246951420315205 0.17132449237917
7 0 -0.94910791234275849 0.12948496616887001
7 1 -0.74153118559939435 0.27970539148927698
7 2 -0.40584515137739718 0.38183005050511898
7 3 0 0.41795918367346901
7 4 0.40584515137739718 0.38183005050511898
7 5 0.74153118559939435 0.27970539148927698
7 6 0.94910791234275849 0.12948496616887001
8 0 -0.96028985649753618 0.10122853629037599
8 1 -0.79666647741362673 0.22238103445337401
8 2 -0.52553240991632899 0.31370664587788699
8 3 -0.18343464249564981 0.36268378337836199
8 4 0.18343464249564981 0.36268378337836199
8 5 0.52553240991632899 0.31370664587788699
8 6 0.79666647741362673 0.22238103445337401
8 7 0.96028985649753618 0.10122853629037599
9 0 -0.96816023950762609 0.081274388361573996
9 1 -0.83603110732663577 0.18064816069485701
9 2 -0.61337143270059036 0.26061069640293499
9 3 -0.32425342340380892 0.31234707704000297
9 4 0 0.33023935500126
9 5 0.32425342340380892 0.31234707704000297
9 6 0.61337143270059036 0.26061069640293499
9 7 0.83603110732663577 0.18064816069485701
9 8 0.96816023950762609 0.081274388361573996
11 0 -0.97822865814605697 0.055668566116735999
11 1 -0.88706259976809532 0.125580369464905
11 2 -0.73015200557404925 0.18629021092773401
11 3 -0.51909612920681181 0.23319376459199001
11 4 -0.26954315595234501 0.26280454451024798
11 5 0 0.272925086777901
11 6 0.26954315595234501 0.26280454451024798
11 7 0.51909612920681181 0.23319376459199001
11 8 0.73015200557404925 0.18629021092773401
11 9 0.88706259976809532 0.125580369464905
11 10 0.97822865814605697 0.055668566116735999
12 0 -0.98156063424671935 0.047175336386512001
12 1 -0.90411725637047491 0.106939325995318
12 2 -0.76990267419430469 0.160078328543346
12 3 -0.58731795428661737 0.20316742672306601
12 4 -0.36783149899818018 0.233492536538355
12 5 -0.12523340851146891 0.249147045813403
12 6 0.12523340851146891 0.249147045813403
12 7 0.36783149899818018 0.233492536538355
12 8 0.58731795428661737 0.20316742672306601
12 9 0.76990267419430469 0.160078328543346
12 10 0.90411725637047491 0.106939325995318
12 11 0.98156063424671935 0.047175336386512001
14 0 -0.98628380869681231 0.035119460331751999
14 1 -0.92843488366357352 0.08015808715976
14 2 -0.82720131506976502 0.121518570687903
14 3 -0.68729290481168548 0.15720316715819399
14 4 -0.5152486363581541 0.18553839747793799
14 5 -0.3191123689278898 0.20519846372129599
14 6 -0.1080549487073437 0.21526385346315799
14 7 0.1080549487073437 0.21526385346315799
14 8 0.3191123689278898 0.20519846372129599
14 9 0.5152486363581541 0.18553839747793799
14 10 0.68729290481168548 0.15720316715819399
14 11 0.82720131506976502 0.121518570687903
14 12 0.92843488366357352 0.08015808715976
14 13 0.98628380869681231 0.035119460331751999
16 0 -0.98940093499164994 0.027152459411753999
16 1 -0.9445750230732326 0.062253523938647998
16 2 -0.86563120238783176 0.095158511682492994
16 3 -0.755404408355003 0.124628971255534
16 4 -0.61787624440264366 0.14959598881657701
16 5 -0.45801677765722743 0.16915651939500301
16 6 -0.28160355077925892 0.182603415044924
16 7 -0.095012509837637441 0.189450610455069
16 8 0.095012509837637441 0.189450610455069
16 9 0.28160355077925892 0.182603415044924
16 10 0.45801677765722743 0.16915651939500301
16 11 0.61787624440264366 0.14959598881657701
16 12 0.755404408355003 0.124628971255534
16 13 0.86563120238783176 0.095158511682492994
16 14 0.9445750230732326 0.062253523938647998
16 15 0.98940093499164994 0.027152459411753999
21 0 -0.99375217062038945 0.016017228257774001
21 1 -0.96722683856630631 0.036953789770852001
21 2 -0.92009933415040079 0.057134425426856997
21 3 -0.8533633645833173 0.076100113628378999
21 4 -0.76843996347567789 0.093444423456034001
21 5 -0.66713880419741234 0.108797299167148
21 6 -0.55161883588721983 0.12183141605372901
21 7 -0.42434212020743878 0.132268938633337
21 8 -0.28802131680240112 0.13988739479107301
21 9 -0.14556185416089509 0.14452440398996999
21 10 0 0.14608113364969
21 11 0.14556185416089509 0.14452440398996999
21 12 0.28802131680240112 0.13988739479107301
21 13 0.42434212020743878 0.132268938633337
21 14 0.55161883588721983 0.12183141605372901
21 15 0.66713880419741234 0.108797299167148
21 16 0.76843996347567789 0.093444423456034001
21 17 0.8533633645833173 0.076100113628378999
21 18 0.92009933415040079 0.057134425426856997
21 19 0.96722683856630631 0.036953789770852001
21 20 0.99375217062038945 0.016017228257774001
