# n xi P dP
0 -1 1 0
1 -1 -1 1
2 -1 1 -3
3 -1 -1 6
4 -1 1 -10
5 -1 -1 15
6 -1 1 -21
7 -1 -1 28
8 -1 1 -36
9 -1 -1 45
10 -1 1 -55
11 -1 -1 66
12 -1 1 -78
13 -1 -1 91
14 -1 1 -105
15 -1 -1 120
0 -0.90000000000000002 1 0
1 -0.90000000000000002 -0.90000000000000002 1
2 -0.90000000000000002 0.71500000000000008 -2.7000000000000002
3 -0.90000000000000002 -0.47250000000000009 4.5750000000000002
4 -0.90000000000000002 0.2079375 -6.0075000000000003
5 -0.90000000000000002 0.041141250000000087 6.4464375000000018
6 -0.90000000000000002 -0.24116431250000012 -5.5549462500000031
7 -0.90000000000000002 0.36782499375000016 3.3113014375000023
8 -0.90000000000000002 -0.40968590351562517 -0.037571343750000707
9 -0.90000000000000002 0.36951048597656266 -3.6533589222656264
10 -0.90000000000000002 -0.2631456178558596 6.9831278898046918
11 -0.90000000000000002 0.11621339251910187 -9.1794168972386796
12 -0.90000000000000002 0.040748714272420584 9.6560359177440329
13 -0.90000000000000002 -0.17780052164297583 -8.1606990404281579
14 -0.90000000000000002 0.2707728135987747 4.8554218333836783
15 -0.90000000000000002 -0.30519754212842387 -0.30828744606368824
0 -0.5 1 0
1 -0.5 -0.5 1
2 -0.5 -0.125 -1.5
3 -0.5 0.4375 0.375
4 -0.5 -0.2890625 1.5625
5 -0.5 -0.08984375 -2.2265625
6 -0.5 0.3232421875 0.57421875
7 -0.5 -0.22314453125 1.9755859375
8 -0.5 -0.073638916015625 -2.77294921875
9 -0.5 0.2678985595703125 0.723724365234375
10 -0.5 -0.18822860717773438 2.3171234130859375
11 -0.5 -0.063871383666992188 -3.2290763854980469
12 -0.5 0.23375296592712402 0.84808158874511719
13 -0.5 -0.16580426692962646 2.6147477626800537
14 -0.5 -0.057173639535903931 -3.6286336183547974
15 -0.5 0.21001850068569183 0.95671221613883972
0 -0.29999999999999999 1 0
1 -0.29999999999999999 -0.29999999999999999 1
2 -0.29999999999999999 -0.36499999999999999 -0.89999999999999991
3 -0.29999999999999999 0.38250000000000001 -0.82500000000000007
4 -0.29999999999999999 0.072937499999999988 1.7774999999999999
5 -0.29999999999999999 -0.34538625000000001 -0.16856249999999973
6 -0.29999999999999999 0.12918118750000002 -2.02174875
7 -0.29999999999999999 0.22407298125 1.5107929374999998
8 -0.29999999999999999 -0.23907459101562503 1.33934596875
9 -0.29999999999999999 -0.063700381757812494 -2.5534751097656252
10 -0.29999999999999999 0.25147634951601566 0.12903871535156258
11 -0.29999999999999999 -0.086117925852070343 2.7275282300707033
12 -0.29999999999999999 -0.18100217969140722 -1.8516735792460548
13 -0.29999999999999999 0.18391780445464601 -1.7975262622144776
14 -0.29999999999999999 0.061663865707547227 3.114107141029387
15 -0.29999999999999999 -0.20742165960138031 -0.0092741566956071608
0 0 1 0
1 0 0 1
2 0 -0.5 0
3 0 -0 -1.5
4 0 0.375 -0
5 0 0 1.875
6 0 -0.3125 0
