# p xi i N dN
15 -1 0 1 -0.5
15 -1 1 0 0.5
15 -1 2 0 -1.2247448713915892
15 -1 3 0 1.5811388300841895
15 -1 4 0 -1.8708286933869707
15 -1 5 0 2.1213203435596428
15 -1 6 0 -2.3452078799117149
15 -1 7 0 2.5495097567963927
15 -1 8 0 -2.7386127875258306
15 -1 9 0 2.9154759474226499
15 -1 10 0 -3.0822070014844885
15 -1 11 0 3.2403703492039302
15 -1 12 0 -3.3911649915626341
15 -1 13 0 3.5355339059327373
15 -1 14 0 -3.6742346141747668
15 -1 15 0 3.8078865529319539
15 -0.90000000000000002 0 0.94999999999999996 -0.5
15 -0.90000000000000002 1 0.049999999999999989 0.5
15 -0.90000000000000002 2 -0.11635076278220094 -1.1022703842524304
15 -0.90000000000000002 3 0.13518736997219818 1.1305142635101957
15 -0.90000000000000002 4 -0.13551815347721871 -0.88396655762534371
15 -0.90000000000000002 5 0.12106640365737829 0.44110204893893362
15 -0.90000000000000002 6 -0.095748828141603071 0.096484783689417236
15 -0.90000000000000002 7 0.064067953236722902 -0.61485076770984415
15 -0.90000000000000002 8 -0.030767692275305927 1.0073302314553592
15 -0.90000000000000002 9 0.00028905953212416595 -1.1944293976979219
15 -0.90000000000000002 10 0.023771973392635076 1.1389078069988976
15 -0.90000000000000002 11 -0.03908459005614727 -0.8526892576230759
15 -0.90000000000000002 12 0.04480677479337964 0.39409878826150491
15 -0.90000000000000002 13 -0.041579846493440924 0.14406846093330924
15 -0.90000000000000002 14 0.031302315105157963 -0.65328083103895263
15 -0.90000000000000002 15 -0.016728048316901181 1.0310721558023253
15 -0.5 0 0.75 -0.5
15 -0.5 1 0.25 0.5
15 -0.5 2 -0.45927932677184591 -0.61237243569579458
15 -0.5 3 0.29646353064078557 -0.19764235376052369
15 -0.5 4 -0.043847547501257127 0.81848755335679968
15 -0.5 5 -0.12429611388044781 -0.61319416181020925
15 -0.5 6 0.13054379800289817 -0.2107022704608181
15 -0.5 7 -0.02614243402965051 0.82410911083945892
15 -0.5 8 -0.072460244347683569 -0.6111064667477073
15 -0.5 9 0.084213195319688058 -0.21469248843783126
15 -0.5 10 -0.018588902547252564 0.82571881599522645
15 -0.5 11 -0.051193213658249193 -0.60993039757068446
15 -0.5 12 0.062217788599901049 -0.21659840025416932
15 -0.5 13 -0.014415486596181085 0.82644153664768694
15 -0.5 14 -0.039590096443578637 -0.60920377673070614
15 -0.5 15 0.049347947003035901 -0.2177107331709473
15 -0.29999999999999999 0 0.65000000000000002 -0.5
15 -0.29999999999999999 1 0.34999999999999998 0.5
15 -0.29999999999999999 2 -0.55725891648317305 -0.36742346141747673
15 -0.29999999999999999 3 0.21582545030649186 -0.5771156729807293
15 -0.29999999999999999 4 0.11704372013002234 0.71559197522051621
15 -0.29999999999999999 5 -0.17156443443581557 0.15472380255838153
15 -0.29999999999999999 6 0.011991194465481098 -0.81000255511315744
15 -0.29999999999999999 7 0.11168014355151139 0.32934869792579408
15 -0.29999999999999999 8 -0.06723399894154472 0.61364913179028568
15 -0.29999999999999999 9 -0.049352724597541427 -0.69701621974596184
15 -0.29999999999999999 10 0.079577870710074938 -0.19633776265116445
15 -0.29999999999999999 11 -0.0034591021516668955 0.81487650649774113
15 -0.29999999999999999 12 -0.063765480341335251 -0.2920400952955276
15 -0.29999999999999999 13 0.038188819212508163 -0.63993934334670022
15 -0.29999999999999999 14 0.033022666062583104 0.67575716329028646
15 -0.29999999999999999 15 -0.051385389062432424 0.23480900502957106
15 0 0 0.5 -0.5
15 0 1 0.5 0.5
15 0 2 -0.61237243569579458 0
15 0 3 -0 -0.79056941504209477
15 0 4 0.23385358667337133 -0
15 0 5 0 0.79549512883486606
15 0 6 -0.14657549249448218 0
15 0 7 -0 -0.79672179899887263
15 0 8 0.10697706201272776 -0
15 0 9 0 0.79720045437338094
15 0 10 -0.084279097696841485 0
15 0 11 -0 -0.79743489062440465
15 0 12 0.069545375803530582 -0
15 0 13 0 0.79756673073287343
15 0 14 -0.05920397571668326 0
15 0 15 -0 -0.7976481109413126
15 0.10000000000000001 0 0.45000000000000001 -0.5
15 0.10000000000000001 1 0.55000000000000004 0.5
15 0.10000000000000001 2 -0.60624871133883662 0.12247448713915893
15 0.10000000000000001 3 -0.078266372089167383 -0.76685233259083185
15 0.10000000000000001 4 0.21993929826630573 -0.27594723227457824
15 0.10000000000000001 5 0.076916424007043196 0.71687369360168673
15 0.10000000000000001 6 -0.12509910475869815 0.41939059365476211
15 0.10000000000000001 7 -0.074194988417181681 -0.63439275999568856
15 0.10000000000000001 8 0.078351718055783601 -0.54633392677492132
15 0.10000000000000001 9 0.070465439090513796 0.52572072630959399
15 0.10000000000000001 10 -0.049063174330247275 0.65154046969402191
15 0.10000000000000001 11 -0.065867933530571979 -0.3957302204297965
15 0.10000000000000001 12 0.028422614690342102 -0.7307463944973811
15 0.10000000000000001 13 0.060525623862750531 0.24977328851049718
15 0.10000000000000001 14 -0.012964014813638515 0.7807580825330519
15 0.10000000000000001 15 -0.054568879133220421 -0.093746776040198598
15 0.29999999999999999 0 0.34999999999999998 -0.5
15 0.29999999999999999 1 0.65000000000000002 0.5
15 0.29999999999999999 2 -0.55725891648317305 0.36742346141747673
15 0.29999999999999999 3 -0.21582545030649186 -0.5771156729807293
15 0.29999999999999999 4 0.11704372013002234 -0.71559197522051621
15 0.29999999999999999 5 0.17156443443581557 0.15472380255838153
15 0.29999999999999999 6 0.011991194465481098 0.81000255511315744
15 0.29999999999999999 7 -0.11168014355151139 0.32934869792579408
15 0.29999999999999999 8 -0.06723399894154472 -0.61364913179028568
15 0.29999999999999999 9 0.049352724597541427 -0.69701621974596184
15 0.29999999999999999 10 0.079577870710074938 0.19633776265116445
15 0.29999999999999999 11 0.0034591021516668955 0.81487650649774113
15 0.29999999999999999 12 -0.063765480341335251 0.2920400952955276
15 0.29999999999999999 13 -0.038188819212508163 -0.63993934334670022
15 0.29999999999999999 14 0.033022666062583104 -0.67575716329028646
15 0.29999999999999999 15 0.051385389062432424 0.23480900502957106
15 0.69999999999999996 0 0.15000000000000002 -0.5
15 0.69999999999999996 1 0.84999999999999998 0.5
15 0.69999999999999996 2 -0.31230994220485531 0.85732140997411221
15 0.69999999999999996 3 -0.28223328117002788 0.37156762506978436
15 0.69999999999999996 4 -0.17293472734495807 -0.36013452347699204
15 0.69999999999999996 5 -0.040705485742480042 -0.87411656406804539
15 0.69999999999999996 6 0.061140888608730903 -0.85646698623390827
15 0.69999999999999996 7 0.10106924328808464 -0.31941867611179142
15 0.69999999999999996 8 0.078870342852421296 0.41121720757844799
15 0.69999999999999996 9 0.020906472699479612 0.89418914514517811
15 0.69999999999999996 10 -0.035834476861278795 0.838545022152968
15 0.69999999999999996 11 -0.062449558416025591 0.27804255563058267
15 0.69999999999999996 12 -0.050490891840311858 -0.44987013171951706
15 0.69999999999999996 13 -0.012779214874005282 -0.90735975421205661
15 0.69999999999999996 14 0.026382207177927733 -0.81943573790300905
15 0.69999999999999996 15 0.045461667037159842 -0.23902582334163877
15 0.94999999999999996 0 0.025000000000000022 -0.5
15 0.94999999999999996 1 0.97499999999999998 0.5
15 0.94999999999999996 2 -0.059706312480340057 1.1635076278220096
15 0.94999999999999996 3 -0.073226492068274071 1.3498972761843768
15 0.94999999999999996 4 -0.08008754551104616 1.3440734894052018
15 0.94999999999999996 5 -0.08148082590096109 1.1754020577066586
15 0.94999999999999996 6 -0.078167104687616215 0.87416130485879318
15 0.94999999999999996 7 -0.070899203916333503 0.47791484339459495
15 0.94999999999999996 8 -0.060519157971721277 0.030746976889339764
15 0.94999999999999996 9 -0.047959414628461712 -0.41989692124920058
15 0.94999999999999996 10 -0.034205496084369687 -0.82733164704004014
15 0.94999999999999996 11 -0.02024184211198702 -1.1499435849190576
15 0.94999999999999996 12 -0.0069924319137393935 -1.3551229631837987
15 0.94999999999999996 13 0.0047359698749907244 -1.4223639419398986
15 0.94999999999999996 14 0.014302078542209379 -1.3451945989319791
15 0.94999999999999996 15 0.021265535956192745 -1.1317301251836642
15 1 0 0 -0.5
15 1 1 1 0.5
15 1 2 0 1.2247448713915892
15 1 3 0 1.5811388300841895
15 1 4 0 1.8708286933869707
15 1 5 0 2.1213203435596428
15 1 6 0 2.3452078799117149
15 1 7 0 2.5495097567963927
15 1 8 0 2.7386127875258306
15 1 9 0 2.9154759474226499
15 1 10 0 3.0822070014844885
15 1 11 0 3.2403703492039302
15 1 12 0 3.3911649915626341
15 1 13 0 3.5355339059327373
15 1 14 0 3.6742346141747668
15 1 15 0 3.8078865529319539
