# dof u
0 -1.3300341297725135e-13
1 -0.30283453147302281
2 -0.99999999999986877
3 -0.30817053891839213
4 0.55094321668086854
5 -0.27785538521601449
6 -0.20962402511585379
7 -0.17348779466384689
8 -0.11604954560092746
9 -0.048368672237465285
10 0.17009841112932639
11 0.04673296416122729
12 -0.021529606763347947
13 0.09460909970470982
14 -0.10283500953862029
15 0.093766160747509764
16 0.085689888153924115
17 0.066058647456087263
18 0.011046093740681721
19 0.037566186991920464
20 -0.076160525583338759
21 0.015930197982255246
22 0.072982772834109574
23 0.003413368785816264
24 -0.037459219459532081
25 -0.00055711229053010878
26 0.010162066815879422
27 -0.00060484951675791974
28 -0.00059447330655097643
29 -0.00015645957598191281
30 -0.00030877685603878112
