# element i j Ke
0 0 0 0.44445705105852135
0 0 1 -0.44445705105852135
0 0 2 0.36287707466244673
0 0 3 0.15617514495445836
0 0 4 -0.061571854050354063
0 0 5 -0.11639683839432534
0 0 6 -0.025755870107909223
0 0 7 0.065269941610415771
0 0 8 0.056778925350760033
0 0 9 -0.016174557851072361
0 0 10 -0.054422648776472279
0 0 11 -0.019871712158126224
0 0 12 0.032775802773698119
0 0 13 0.036832816170972248
0 0 14 -0.0051150600303989076
0 0 15 -0.034917162587824346
0 1 0 -0.44445705105852135
0 1 1 0.44445705105852135
0 1 2 -0.36287707466244673
0 1 3 -0.15617514495445836
0 1 4 0.061571854050354063
0 1 5 0.11639683839432534
0 1 6 0.025755870107909223
0 1 7 -0.065269941610415771
0 1 8 -0.056778925350760033
0 1 9 0.016174557851072361
0 1 10 0.054422648776472279
0 1 11 0.019871712158126224
0 1 12 -0.032775802773698119
0 1 13 -0.036832816170972248
0 1 14 0.0051150600303989076
0 1 15 0.034917162587824346
0 2 0 0.36287707466244673
0 2 1 -0.36287707466244673
0 2 2 0.69136643333182657
0 2 3 -0.38252771800791785
0 2 4 -0.050304583051143832
0 2 5 0.10770923127729899
0 2 6 0.06305655745184599
0 2 7 -0.038063303859006595
0 2 8 -0.060295224661789208
0 2 9 -0.0029189569679131319
0 2 10 0.044208605192041658
0 2 11 0.026553804119669743
0 2 12 -0.020787053537914765
0 2 13 -0.033907604974874973
0 2 14 -0.002352290473557876
0 2 15 0.02754248290177334
0 3 0 0.15617514495445836
0 3 1 -0.15617514495445836
0 3 2 -0.38252771800791785
0 3 3 0.88890289939154965
0 3 4 -0.36787496473068876
0 3 5 -0.17176997790515591
0 3 6 0.027107523852899256
0 3 7 0.10593809015740424
0 3 8 0.049994545682620406
0 3 9 -0.041198173470539286
0 3 10 -0.063137593863118457
0 3 11 -0.0087093339159565793
0 3 12 0.04470087296374025
0 3 13 0.03581404176907086
0 3 14 -0.014257909288441286
0 3 15 -0.039522689129926236
0 4 0 -0.061571854050354063
0 4 1 0.061571854050354063
0 4 2 -0.050304583051143832
0 4 3 -0.36787496473068876
0 4 4 0.76942420282620028
0 4 5 -0.44841975996745126
0 4 6 -0.12961341805100163
0 4 7 0.11500496675702075
0 4 8 0.12542399144984037
0 4 9 -0.0099864318762108335
0 4 10 -0.094302894080238203
0 4 11 -0.045252283456693791
0 4 12 0.047915910088110761
0 4 13 0.064574881918681673
0 4 14 -0.001260049109945379
0 4 15 -0.055125221409446284
0 5 0 -0.11639683839432534
0 5 1 0.11639683839432534
0 5 2 0.10770923127729899
0 5 3 -0.17176997790515591
0 5 4 -0.44841975996745126
0 5 5 0.81301973543403849
0 5 6 -0.35991922579835567
0 5 7 -0.1108849011447685
0 5 8 0.054161595079984831
0 5 9 0.072430907887148038
0 5 10 0.0086539615810081738
0 5 11 -0.03732754660015393
0 5 12 -0.025799105549900475
0 5 13 0.010293138179058088
0 5 14 0.0237348153135057
0 5 15 0.0063805556899469516
0 6 0 -0.025755870107909223
0 6 1 0.025755870107909223
0 6 2 0.06305655745184599
0 6 3 0.027107523852899256
0 6 4 -0.12961341805100163
0 6 5 -0.35991922579835567
0 6 6 0.83228877244625188
0 6 7 -0.42067005188253487
0 6 8 -0.16418443752986672
0 6 9 0.072634495885107106
0 6 10 0.12956431172340788
0 6 11 0.028306412576089898
0 6 12 -0.07498104037808144
0 6 13 -0.0668178867259622
0 6 14 0.017865396284306018
0 6 15 0.065217912161667516
0 7 0 0.065269941610415771
0 7 1 -0.065269941610415771
0 7 2 -0.038063303859006595
0 7 3 0.10593809015740424
0 7 4 0.11500496675702075
0 7 5 -0.1108849011447685
0 7 6 -0.42067005188253487
0 7 7 0.7793123159765436
0 7 8 -0.40200183574727372
0 7 9 -0.10716309020416338
0 7 10 0.092069788232221672
0 7 11 0.09186290753367117
0 7 12 -0.012567322057533605
0 7 13 -0.067277753972963983
0 7 14 -0.025373640558108732
0 7 15 0.037239989042082158
0 8 0 0.056778925350760033
0 8 1 -0.056778925350760033
0 8 2 -0.060295224661789208
0 8 3 0.049994545682620406
0 8 4 0.12542399144984037
0 8 5 0.054161595079984831
0 8 6 -0.16418443752986672
0 8 7 -0.40200183574727372
0 8 8 0.83655024029844338
0 8 9 -0.38248564430247678
0 8 10 -0.14499613224968941
0 8 11 0.051068774980263104
0 8 12 0.09960939658927441
0 8 13 0.029006154725215078
0 8 14 -0.047868978987394006
0 8 15 -0.050632623774557517
0 9 0 -0.016174557851072361
0 9 1 0.016174557851072361
0 9 2 -0.0029189569679131319
0 9 3 -0.041198173470539286
0 9 4 -0.0099864318762108335
0 9 5 0.072430907887148038
0 9 6 0.072634495885107106
0 9 7 -0.10716309020416338
0 9 8 -0.38248564430247678
0 9 9 0.79884121219150028
0 9 10 -0.42342067735823835
0 9 11 -0.13729447017662652
0 9 12 0.092571150681246425
0 9 13 0.1190084702838364
0 9 14 0.0037938731903165005
0 9 15 -0.081573012965275693
0 10 0 -0.054422648776472279
0 10 1 0.054422648776472279
0 10 2 0.044208605192041658
0 10 3 -0.063137593863118457
0 10 4 -0.094302894080238203
0 10 5 0.0086539615810081738
0 10 6 0.12956431172340788
0 10 7 0.092069788232221672
0 10 8 -0.14499613224968941
0 10 9 -0.42342067735823835
0 10 10 0.80664289410245182
0 10 11 -0.38186216795066769
0 10 12 -0.11794669161606394
0 10 13 0.067281250848923446
0 10 14 0.085302308707973465
0 10 15 0.0053552215523291358
0 11 0 -0.019871712158126224
0 11 1 0.019871712158126224
0 11 2 0.026553804119669743
0 11 3 -0.0087093339159565793
0 11 4 -0.045252283456693791
0 11 5 -0.03732754660015393
0 11 6 0.028306412576089898
0 11 7 0.09186290753367117
0 11 8 0.051068774980263104
0 11 9 -0.13729447017662652
0 11 10 -0.38186216795066769
0 11 11 0.82605669082570055
0 11 12 -0.40712201536745291
0 11 13 -0.15168632457649975
0 11 14 0.068803802641153058
0 11 15 0.11720118890373343
0 12 0 0.032775802773698119
0 12 1 -0.032775802773698119
0 12 2 -0.020787053537914765
0 12 3 0.04470087296374025
0 12 4 0.047915910088110761
0 12 5 -0.025799105549900475
0 12 6 -0.07498104037808144
0 12 7 -0.012567322057533605
0 12 8 0.09960939658927441
0 12 9 0.092571150681246425
0 12 10 -0.11794669161606394
0 12 11 -0.40712201536745291
0 12 12 0.79236778100667338
0 12 13 -0.40556701704921039
0 12 14 -0.11980781350816797
0 12 15 0.087799945501814886
0 13 0 0.036832816170972248
0 13 1 -0.036832816170972248
0 13 2 -0.033907604974874973
0 13 3 0.03581404176907086
0 13 4 0.064574881918681673
0 13 5 0.010293138179058088
0 13 6 -0.0668178867259622
0 13 7 -0.067277753972963983
0 13 8 0.029006154725215078
0 13 9 0.1190084702838364
0 13 10 0.067281250848923446
0 13 11 -0.15168632457649975
0 13 12 -0.40556701704921039
0 13 13 0.8242867787869631
0 13 14 -0.38655033845839104
0 13 15 -0.13706684425238747
0 14 0 -0.0051150600303989076
0 14 1 0.0051150600303989076
0 14 2 -0.002352290473557876
0 14 3 -0.014257909288441286
0 14 4 -0.001260049109945379
0 14 5 0.0237348153135057
0 14 6 0.017865396284306018
0 14 7 -0.025373640558108732
0 14 8 -0.047868978987394006
0 14 9 0.0037938731903165005
0 14 10 0.085302308707973465
0 14 11 0.068803802641153058
0 14 12 -0.11980781350816797
0 14 13 -0.38655033845839104
0 14 14 0.80705714267117434
0 14 15 -0.41522930644869172
0 15 0 -0.034917162587824346
0 15 1 0.034917162587824346
0 15 2 0.02754248290177334
0 15 3 -0.039522689129926236
0 15 4 -0.055125221409446284
0 15 5 0.0063805556899469516
0 15 6 0.065217912161667516
0 15 7 0.037239989042082158
0 15 8 -0.050632623774557517
0 15 9 -0.081573012965275693
0 15 10 0.0053552215523291358
0 15 11 0.11720118890373343
0 15 12 0.087799945501814886
0 15 13 -0.13706684425238747
0 15 14 -0.41522930644869172
0 15 15 0.80463112463731468
1 0 0 0.29628404162538641
1 0 1 -0.29628404162538641
1 0 2 -0.40320484761644637
1 0 3 -0.057856389524806207
1 0 4 0.14446538684968707
1 0 5 0.056538729903593953
1 0 6 -0.080127372998196597
1 0 7 -0.054043502597047786
1 0 8 0.047995297315968327
1 0 9 0.050665889856959703
1 0 10 -0.027690971082879448
1 0 11 -0.046543161805101783
1 0 12 0.013375669759995894
1 0 13 0.041805908674349801
1 0 14 -0.0027636211432213054
1 0 15 -0.036594093675181322
1 1 0 -0.29628404162538641
1 1 1 0.29628404162538641
1 1 2 0.40320484761644637
1 1 3 0.057856389524806207
1 1 4 -0.14446538684968707
1 1 5 -0.056538729903593953
1 1 6 0.080127372998196597
1 1 7 0.054043502597047786
1 1 8 -0.047995297315968327
1 1 9 -0.050665889856959703
1 1 10 0.027690971082879448
1 1 11 0.046543161805101783
1 1 12 -0.013375669759995894
1 1 13 -0.041805908674349801
1 1 14 0.0027636211432213054
1 1 15 0.036594093675181322
1 2 0 -0.40320484761644637
1 2 1 0.40320484761644637
1 2 2 0.66575127048769089
1 2 3 0.33057521446796362
1 2 4 0.0020715398243246162
1 2 5 -0.079701967049758557
1 2 6 -0.0031738343464952426
1 2 7 0.039545598216417198
1 2 8 0.0041846604433172022
1 2 9 -0.024930306994380261
1 2 10 -0.0050738844992819568
1 2 11 0.01755811490004083
1 2 12 0.0058164020323601927
1 2 13 -0.013008784678777724
1 2 14 -0.0063924461905728105
1 2 15 0.0097787445409320099
1 3 0 -0.057856389524806207
1 3 1 0.057856389524806207
1 3 2 0.33057521446796362
1 3 3 0.5763064981665611
1 3 4 0.47525709368796692
1 3 5 0.088328663760276052
1 3 6 -0.16582886407784708
1 3 7 -0.084471902633246554
1 3 8 0.090089192299152965
1 3 9 0.079249156190510761
1 3 10 -0.050937410759956427
1 3 11 -0.072872586482690183
1 3 12 0.025560302691383058
1 3 13 0.065543505095398663
1 3 14 -0.0075004241189946738
1 3 15 -0.057477548393761173
1 4 0 0.14446538684968707
1 4 1 -0.14446538684968707
1 4 2 0.0020715398243246162
1 4 3 0.47525709368796692
1 4 4 0.66197867705752034
1 4 5 0.38914561194955521
1 4 6 0.0071829342110060548
1 4 7 -0.11529482918233309
1 4 8 -0.0094713719423628606
1 4 9 0.06408827600603284
1 4 10 0.011485255545118762
1 4 11 -0.04293929782241742
1 4 12 -0.013167876713482241
1 4 13 0.031071208127178753
1 4 14 0.01447456458225628
1 4 15 -0.023080651957089665
1 5 0 0.056538729903593953
1 5 1 -0.056538729903593953
1 5 2 -0.079701967049758557
1 5 3 0.088328663760276052
1 5 4 0.38914561194955521
1 5 5 0.5802621726985373
1 5 6 0.44011077336161886
1 5 7 0.08272853397095431
1 5 8 -0.14162380638229377
1 5 9 -0.077745618660189281
1 5 10 0.072282882637597551
1 5 11 0.071657955041473723
1 5 12 -0.037511847949482667
1 5 13 -0.064656162332960787
1 5 14 0.015483248761406533
1 5 15 0.056944129785202705
1 6 0 -0.080127372998196597
1 6 1 0.080127372998196597
1 6 2 -0.0031738343464952426
1 6 3 -0.16582886407784708
1 6 4 0.0071829342110060548
1 6 5 0.44011077336161886
1 6 6 0.65565990630179272
1 6 7 0.41378216813384039
1 6 8 0.014515594001013016
1 6 9 -0.1334292578565513
1 6 10 -0.017605535183324597
1 6 11 0.077710001558657149
1 6 12 0.020189994860232936
1 6 13 -0.053099070030823328
1 6 14 -0.022200703842155917
1 6 15 0.038388577616904881
1 7 0 -0.054043502597047786
1 7 1 0.054043502597047786
1 7 2 0.039545598216417198
1 7 3 -0.084471902633246554
1 7 4 -0.11529482918233309
1 7 5 0.08272853397095431
1 7 6 0.41378216813384039
1 7 7 0.58730595060531943
1 7 8 0.42201543664742558
1 7 9 0.074787508335192293
1 7 10 -0.1280284817990866
1 7 11 -0.069194137315360907
1 7 12 0.062129151395626352
1 7 13 0.062753254450377702
1 7 14 -0.030181210194378492
1 7 15 -0.055649046672237273
1 8 0 0.047995297315968327
1 8 1 -0.047995297315968327
1 8 2 0.0041846604433172022
1 8 3 0.090089192299152965
1 8 4 -0.0094713719423628606
1 8 5 -0.14162380638229377
1 8 6 0.014515594001013016
1 8 7 0.42201543664742558
1 8 8 0.64751950193684982
1 8 9 0.4274160369236425
1 8 10 0.023229894596791228
1 8 11 -0.14360886855622362
1 8 12 -0.026650150950772805
1 8 13 0.085046214208820289
1 8 14 0.029318264555946577
1 8 15 -0.058003914022233177
1 9 0 0.050665889856959703
1 9 1 -0.050665889856959703
1 9 2 -0.024930306994380261
1 9 3 0.079249156190510761
1 9 4 0.06408827600603284
1 9 5 -0.077745618660189281
1 9 6 -0.1334292578565513
1 9 7 0.074787508335192293
1 9 8 0.4274160369236425
1 9 9 0.59590740354875871
1 9 10 0.41183804814021124
1 9 11 0.065823653289776379
1 9 12 -0.12068915913755079
1 9 13 -0.060129510008597079
1 9 14 0.05721466944527262
1 9 15 0.053834955149960464
1 10 0 -0.027690971082879448
1 10 1 0.027690971082879448
1 10 2 -0.0050738844992819568
1 10 3 -0.050937410759956427
1 10 4 0.011485255545118762
1 10 5 0.072282882637597551
1 10 6 -0.017605535183324597
1 10 7 -0.1280284817990866
1 10 8 0.023229894596791228
1 10 9 0.41183804814021124
1 10 10 0.63847225321945089
1 10 11 0.4347574813497424
1 10 12 0.032362281980199872
1 10 13 -0.14852010435958043
