alpha,kappa,num,exact,err_num,err_model,err_total
0.1,750003.6086001004,-0.6564284827924375,-0.6640140842818016,0.011423856314085193,0.11111111111111115,0.12126565005696464
0.03162277660168379,2371719.053116102,-0.7144499922931012,-0.7186102794053891,0.005789350961873656,0.038025385416818526,0.043594594077053704
0.01,7500033.592012938,-0.7359100853842937,-0.7377934269797797,0.002552667896752071,0.012345679012345616,0.014866832490619267
0.0031622776601683794,23717188.09763661,-0.7432560983735936,-0.7440746315858245,0.001100068699407738,0.003937283595266644,0.005033021012230537
0.001,75000333.57086933,-0.745755637688985,-0.7460832407660692,0.0004390972202349146,0.0012484394506867005,0.001686988484629187
0.00031622776601683794,237171878.86557734,-0.7466009568689487,-0.7467206775524007,0.00016032860352069962,0.00039512851925984624,0.0005553937723768417
0.0001,750003333.6566712,-0.7468793642087538,-0.7469224795070885,5.7723926535355515e-05,0.00012498437695292658,0.0001827010888992888
3.1622776601683795e-05,2371718786.5979724,-0.7469700254569496,-0.7469863175902197,2.1810484190265328e-05,3.9526908313959746e-05,6.13365304032162e-05
1e-05,7500033334.78241,-0.7470002691338782,-0.7470065072356863,8.350799822605927e-06,1.2499843752138977e-05,2.0850539191051916e-05
3.162277660168379e-06,23717187864.456276,-0.7470106454785825,-0.7470128919893017,3.0073252325468072e-06,3.9528314502424895e-06,6.960144795339536e-06
1e-06,75000333332.0836,-0.7470141461446108,-0.747014911048388,1.0239471339771222e-06,1.249998437562247e-06,2.2739442916070514e-06
3.162277660168379e-07,237171878589.5095,-0.7470152891767728,-0.7470155495332039,3.485287973506217e-07,3.952845511877458e-07,7.438132107703183e-07
1e-07,750003331627.4143,-0.7470156577964799,-0.7470157514400579,1.253568988638991e-07,1.2499998438149164e-07,2.503568675757803e-07
3.162277660168379e-08,2371718776517.36,-0.7470157796907971,-0.747015815288634,4.7653391229316574e-08,3.952846923777728e-08,8.718185858342824e-08
1e-08,7500033200443.232,-0.7470158222896811,-0.7470158354793289,1.765645009374642e-08,1.2499999850049434e-08,3.015644972309023e-08
3.1622776601683795e-09,23717188001343.816,-0.7470158372425149,-0.7470158418641875,6.186846839347827e-09,3.952847102123025e-09,1.0139693917015193e-08
1e-09,75000328517363.66,-0.747015842253735,-0.747015843883257,2.181375517233422e-09,1.2500000444533758e-09,3.4313755589600787e-09
3.1622776601683795e-10,237171912291564.47,-0.7470158438801812,-0.747015844521743,8.588329262190155e-10,3.9528466562597824e-10,1.2541175915055103e-09
1e-10,750004446357743.8,-0.7470158444091266,-0.7470158447236499,4.210396586872895e-10,1.2499998958322948e-10,5.46039648217889e-10
3.1622776601683794e-11,2371719695841309.0,-0.7470158445852035,-0.7470158447874984,2.708039581108493e-10,3.9528600321570817e-11,3.103325584217156e-10
1e-11,7500028653454522.0,-0.7470158446383088,-0.7470158448076891,2.267425634286544e-10,1.2500073268863502e-11,2.392426366946836e-10
3.1622776601683794e-12,2.371759609190899e+16,-0.7470158446508285,-0.747015844814074,2.1853020834782496e-10,3.952874894265193e-12,2.2248308324122633e-10
1e-12,7.499637728269627e+16,-0.7470158446537108,-0.7470158448160931,2.1737453082052663e-10,1.250051913210683e-12,2.1862458273346558e-10
3.162277660168379e-13,2.3702800223163958e+17,-0.7470158446550086,-0.7470158448167316,2.1649201884071322e-10,3.953320757508521e-13,2.1688735091637847e-10
1e-13,7.484366421785252e+17,-0.7470158446569711,-0.7470158448169334,2.1413503711534134e-10,1.251389502940667e-13,2.1426017606560862e-10
3.1622776601683796e-14,2.3671257063790367e+18,-0.7470158446610411,-0.7470158448169973,2.087723426456544e-10,3.953320757508521e-14,2.0881187585322122e-10
1e-14,7.34257068921223e+18,-0.7470158446671478,-0.7470158448170175,2.0062463773707224e-10,1.2484170813184803e-14,2.0063712190788292e-10
