p,dof,mean,rel_err
3,7,-0.7409478027928925,0.008123043261044424
4,9,-0.746747738144196,0.000358903595808609
5,11,-0.7470067724761481,1.2144777037481289e-05
6,13,-0.7470157335710619,1.489204891265766e-07
7,15,-0.7470158718192139,3.614673936199313e-08
8,17,-0.7470159554072603,1.4804268769211507e-07
9,19,-0.7470158486009484,5.065383198647018e-09
10,21,-0.7470158367531977,1.0794723051611646e-08
11,23,-0.7470158441726613,8.625862026618674e-10
12,25,-0.7470158444100179,5.448465181787432e-10
13,27,-0.7470158458716724,1.411811395132254e-09
14,29,-0.7470158444723456,4.6141094048612036e-10
15,31,-0.7470158446537101,2.1862562308103334e-10
16,33,-0.7470158450675348,3.353448918880936e-10
17,35,-0.7470158445617402,3.41741989082283e-10
18,37,-0.7470158450535481,3.1662145946885743e-10
19,39,-0.7470158446788469,1.8497602686490482e-10
20,41,-0.7470158446848537,1.7693488327148382e-10
21,43,-0.7470158450388787,2.9698415602187995e-10
22,45,-0.7470158446557703,2.1586766167888728e-10
23,47,-0.7470158449186584,1.3604996696370913e-10
24,49,-0.7470158447559461,8.176641433068385e-11
25,51,-0.747015844695058,1.6327482246456187e-10
